File Name,	 vector,	 SM Loc (X), 	 SM Loc (Y), 	 SM Loc (Z), 	 L*,	 converged L*,	 Convergence Lines 	, tol
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.190773889422,	3.43032979965,	0.371026962996,	3.47175274574,	3.46758977479,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.457069456577,	2.52015304565,	0.272581547499,	2.57725609451,	2.58080514502,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.533183157444,	2.93965339661,	0.31795501709,	2.98687631124,	2.98820314152,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.606878697872,	3.3877146244,	0.366417706013,	3.43566467729,	3.44051192797,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.758250951767,	2.44825077057,	0.264804571867,	2.55172388037,	2.55275600759,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-0.884679734707,	2.85643005371,	0.308953523636,	2.98397052206,	2.99037635947,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.01849079132,	3.29232525826,	0.356100291014,	3.43107656281,	3.43058916225,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.05328691006,	2.3387594223,	0.252961903811,	2.54511710308,	2.54733899566,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.22894823551,	2.72881054878,	0.295150130987,	3.00149019218,	3.00870036374,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.4206391573,	3.14389538765,	0.340045958757,	3.44418865919,	3.45175896899,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.33846759796,	2.19093108177,	0.236972689629,	2.54839241087,	2.55146039826,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.56160354614,	2.55619525909,	0.276479959488,	2.98588038959,	2.98091106309,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.80778348446,	2.94253373146,	0.318266570568,	3.44014555535,	3.44600989602,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.60911154747,	2.00429320335,	0.216785803437,	2.55451926916,	2.55341059922,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.87721347809,	2.33825111389,	0.252906948328,	2.98054300066,	2.97493863833,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.17350745201,	2.68868374825,	0.290809988976,	3.43819203855,	3.43821500808,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-1.85954809189,	1.77908802032,	0.192427456379,	2.57363661484,	2.57602617661,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.1692378521,	2.07538437843,	0.224475085735,	2.98141134907,	2.97211870804,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.51041913033,	2.38353490829,	0.257804900408,	3.43768689875,	3.44494078952,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.08331394196,	1.51675879955,	0.164053723216,	2.54103685936,	2.54617871763,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.43023014069,	1.76932990551,	0.191372007132,	2.98816590442,	2.99389141612,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.81033754349,	2.02964186668,	0.21952752769,	3.42606707322,	3.43473539555,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.27352571487,	1.2203193903,	0.131990626454,	2.54517057303,	2.55149201067,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.65221333504,	1.42357337475,	0.153974726796,	2.97185278474,	2.98184675274,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.06460261345,	1.63131666183,	0.176444381475,	3.38657521174,	3.38540439411,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.42346930504,	0.894616603851,	0.0967623665929,	2.54377646593,	2.54944399766,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.82737612724,	1.04370522499,	0.112887896597,	2.96950573071,	2.96440812099,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.26481342316,	1.19503259659,	0.129255592823,	3.43855539787,	3.44767665855,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.52729320526,	0.546342670918,	0.0590928159654,	2.55306485612,	2.55334610577,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.94891786575,	0.63746970892,	0.0689491778612,	2.97340666834,	2.97218897221,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.40374040604,	0.729497671127,	0.0789029970765,	3.4357566679,	3.43701979948,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.58045482635,	0.183754861355,	0.0198750589043,	2.54987509551,	2.55828642092,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.01127266884,	0.214428335428,	0.023192724213,	2.98452925258,	2.98935168797,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.47506833076,	0.245319128036,	0.0265338942409,	3.44465848385,	3.45592710771,	9.0,	1.0
